number_sta,lat,lon,height_sta,date,dd,ff,precip,hu,td,t,psl
30081002,44.1348,4.7083,30.0,20160101 00:00,0.0,0.0,0.0,96.0,282.25,282.85,
30087002,44.02,3.83,589.0,20160101 00:00,200.0,0.5,0.0,100.0,279.55,279.65,
30093003,43.94,3.9,135.0,20160101 00:00,,,0.0,,,282.55,
30101001,44.07,4.13999,185.0,20160101 00:00,30.0,0.9,0.0,99.0,281.45,281.85,
30123001,43.71,4.17,17.0,20160101 00:00,,,0.0,,,283.25,
30129001,44.07,3.98,139.0,20160101 00:00,,,0.0,,,282.45,
30130001,44.34,3.96,519.0,20160101 00:00,,,0.0,,,280.15,
30132004,44.24,4.01,499.0,20160101 00:00,0.0,0.0,0.0,97.0,279.95,280.35,
30133005,43.49,4.13999,1.0,20160101 00:00,30.0,3.3,,,,,
30164001,44.222,4.34483,318.0,20160101 00:00,330.0,1.0,0.0,97.0,280.75,281.15,
30175001,44.27,4.43,120.0,20160101 00:00,,,0.0,,,282.05,
30176002,43.95,3.58,640.0,20160101 00:00,50.0,0.5,0.0,100.0,280.35,280.35,
30189001,43.86,4.41,62.0,20160101 00:00,360.0,1.5,0.0,92.0,281.45,282.65,102590.0
30209002,44.0,4.76,44.0,20160101 00:00,0.0,0.0,0.0,97.0,281.85,282.35,
30258001,43.76,4.42,105.0,20160101 00:00,30.0,1.5,0.0,96.0,281.65,282.25,102570.0
30269006,44.11,3.87,196.0,20160101 00:00,,,0.0,,,281.25,
30273001,44.28,4.58,71.0,20160101 00:00,,,0.0,,,282.55,
30283001,44.04,3.73,483.0,20160101 00:00,,,0.0,,,280.75,
30297001,44.12,3.47,1107.0,20160101 00:00,70.0,0.8,0.0,99.0,277.25,277.55,
30305001,44.17,4.15,191.0,20160101 00:00,,,0.0,,,281.85,
30334003,43.99,4.4,72.0,20160101 00:00,0.0,0.0,0.0,98.0,281.95,282.45,
30339001,44.12,3.58,1564.0,20160101 00:00,340.0,5.5,0.0,99.0,274.45,274.55,
30349001,43.87,4.07,45.0,20160101 00:00,,,0.0,,,282.85,
30352002,43.8,4.09,41.0,20160101 00:00,40.0,1.6,0.0,99.0,282.65,282.75,
34028003,43.64,3.15,373.0,20160101 00:00,310.0,1.3,0.0,99.0,281.55,281.65,
34055003,43.67,2.98,424.0,20160101 00:00,,,0.0,,,281.05,
34064003,43.87,3.31,729.0,20160101 00:00,,,0.0,,,279.75,
34151005,43.63,4.17,4.0,20160101 00:00,30.0,1.6,0.0,94.0,282.15,283.05,
34154001,43.58,3.96,8.0,20160101 00:00,10.0,2.6,0.0,95.0,282.45,283.25,102570.0
34178001,43.48,3.15,140.0,20160101 00:00,280.0,0.9,0.0,100.0,283.45,283.45,
34186001,43.655,3.3062,184.0,20160101 00:00,,,0.0,,,283.05,
34199004,43.44,3.4,27.0,20160101 00:00,290.0,0.6,0.0,98.0,282.15,282.45,
34205001,43.79,3.25,844.0,20160101 00:00,300.0,5.3,0.0,100.0,279.65,279.65,
34209002,43.32,3.35,16.0,20160101 00:00,340.0,1.2,0.0,95.0,282.15,282.95,102570.0
34217001,43.72,3.86,85.0,20160101 00:00,30.0,1.3,0.0,98.0,282.35,282.65,
34239002,43.66,3.51,86.0,20160101 00:00,360.0,0.8,0.0,98.0,282.25,282.55,
34269001,43.39,2.86,258.0,20160101 00:00,290.0,0.6,0.0,97.0,281.75,282.25,
34274001,43.7862,3.7312,194.0,20160101 00:00,,,0.0,,,282.55,
34301002,43.4,3.69,81.0,20160101 00:00,10.0,4.2,,92.0,282.25,283.45,102530.0
34306001,43.71,3.35,252.0,20160101 00:00,260.0,0.6,0.0,100.0,282.35,282.35,
34317001,43.79,3.46,620.0,20160101 00:00,,,0.0,,,280.25,
38053003,45.608000000000004,5.30933,358.0,20160101 00:00,70.0,0.7,0.0,98.0,280.15,280.45,
38095001,45.1405,5.2988,280.0,20160101 00:00,,,0.0,97.0,279.25,279.65,
38133001,45.36,5.6,300.0,20160101 00:00,0.0,0.0,0.0,96.0,278.85,279.45,
38191002,45.09,6.09,1860.0,20160101 00:00,360.0,2.4,0.0,91.0,272.65,273.95,
38229001,45.23,5.78,469.0,20160101 00:00,,,0.2,,,,
38269004,44.94,5.79,885.0,20160101 00:00,0.0,0.0,0.0,99.0,275.75,275.85,
38336001,45.48,4.80999,295.0,20160101 00:00,50.0,2.1,0.0,95.0,280.05,280.85,
38362001,45.39,5.66,446.0,20160101 00:00,,,0.2,,,279.35,
38384001,45.36,5.31,386.0,20160101 00:00,90.0,1.1,0.0,96.0,279.35,279.95,102690.0
38412002,45.39,5.72,380.0,20160101 00:00,40.0,0.5,0.0,,,279.25,
38442008,45.32,5.8,950.0,20160101 00:00,250.0,0.4,0.0,98.0,277.55,277.85,
38504002,45.27,6.02,1574.0,20160101 00:00,,,0.0,,,275.35,
38538002,45.22,5.85,220.0,20160101 00:00,250.0,0.5,0.0,95.0,277.45,278.15,102700.0
38548001,45.08,5.56,1024.0,20160101 00:00,80.0,0.8,0.0,99.0,276.95,277.05,
38567002,45.128,5.87833,1730.0,20160101 00:00,80.0,0.5,0.0,100.0,274.45,274.45,
