number_sta,lat,lon,date,dd,ff,precip,hu,t,heure,minute,seconde,heure_complete
83148002,43.39,6.53,2016-01-01 01:30:00,60.0,0.6,0.0,88.0,280.45,1,30,0,0 days 01:30:00
84025001,43.88,5.16,2016-01-01 01:30:00,0.0,0.0,0.0,98.0,281.55,1,30,0,0 days 01:30:00
7187001,44.61,4.24,2016-01-01 01:36:00,340.0,2.6,0.0,94.0,278.95,1,36,0,0 days 01:36:00
15122002,44.73,2.17,2016-01-01 01:36:00,20.0,2.3,0.0,97.0,276.55,1,36,0,0 days 01:36:00
19164001,45.7,2.06,2016-01-01 01:36:00,120.0,2.1,0.0,100.0,273.75,1,36,0,0 days 01:36:00
26321003,44.55,5.28,2016-01-01 01:36:00,0.0,0.0,0.0,98.0,279.55,1,36,0,0 days 01:36:00
34209002,43.32,3.35,2016-01-01 01:36:00,230.0,0.8,0.0,95.0,283.55,1,36,0,0 days 01:36:00
38191002,45.09,6.09,2016-01-01 01:36:00,340.0,1.6,0.0,87.0,274.05,1,36,0,0 days 01:36:00
38548001,45.08,5.56,2016-01-01 01:36:00,20.0,1.3,0.0,99.0,276.95,1,36,0,0 days 01:36:00
74042003,46.07,6.38,2016-01-01 01:36:00,0.0,0.0,0.0,99.0,279.55,1,36,0,0 days 01:36:00
83148002,43.39,6.53,2016-01-01 01:36:00,50.0,1.5,0.0,86.0,280.65,1,36,0,0 days 01:36:00
84025001,43.88,5.16,2016-01-01 01:36:00,0.0,0.0,0.0,98.0,281.55,1,36,0,0 days 01:36:00
7187001,44.61,4.24,2016-01-01 01:42:00,340.0,2.6,0.0,93.0,279.05,1,42,0,0 days 01:42:00
15122002,44.73,2.17,2016-01-01 01:42:00,20.0,2.1,0.0,97.0,276.55,1,42,0,0 days 01:42:00
19164001,45.7,2.06,2016-01-01 01:42:00,110.0,1.8,0.0,100.0,273.75,1,42,0,0 days 01:42:00
26321003,44.55,5.28,2016-01-01 01:42:00,0.0,0.0,0.0,98.0,279.55,1,42,0,0 days 01:42:00
34209002,43.32,3.35,2016-01-01 01:42:00,230.0,0.9,0.0,95.0,283.55,1,42,0,0 days 01:42:00
38191002,45.09,6.09,2016-01-01 01:42:00,360.0,2.2,0.0,86.0,273.95,1,42,0,0 days 01:42:00
38548001,45.08,5.56,2016-01-01 01:42:00,30.0,1.2,0.0,99.0,276.85,1,42,0,0 days 01:42:00
74042003,46.07,6.38,2016-01-01 01:42:00,0.0,0.0,0.0,99.0,279.55,1,42,0,0 days 01:42:00
